Node Number	X Location (µm)	Y Location (µm)	Z Location (µm)	Directional Deformation (µm)
1241	-0,87793	0,53984	0,	2,5622e-002
1244	0,11181	-0,8631	0,	2,6952e-002
1245	0,23953	-1,0398	0,	4,1319e-002
1248	1,0359	-2,4269e-003	0,	2,9575e-003
1249	1,2144	9,5877e-002	0,	5,7086e-003
1250	1,214	-9,8632e-002	0,	3,3489e-003
1254	0,96783	-0,73884	0,	2,2688e-002
1255	0,8746	-0,56154	0,	2,0828e-002
1256	1,0744	-0,58229	0,	1,036e-002
1260	-1,0026	0,35621	0,	1,2652e-002
1262	0,5615	-0,87549	0,	5,0401e-002
1263	0,42469	-0,99029	0,	4,9201e-002
1264	0,3397	-0,8203	0,	3,8234e-002
1268	1,1587	0,41016	0,	9,6036e-003
1269	1,0388	0,22747	0,	6,5487e-003
1270	0,99332	0,41395	0,	8,6646e-003
1274	0,25868	1,0275	0,	3,7558e-003
1275	0,49792	0,94369	0,	2,989e-003
1276	0,32827	0,8075	0,	-2,3591e-003
1280	0,76523	0,70026	0,	7,0586e-003
1281	0,54031	0,70347	0,	-1,2774e-003
1282	0,6692	0,84344	0,	5,9198e-003
1286	1,037	-0,23295	0,	2,9786e-003
1287	0,98922	-0,42246	0,	8,6313e-003
1288	0,81832	-0,34072	0,	7,6885e-003
1292	0,52942	-0,68381	0,	3,2693e-002
1294	0,68676	0,52074	0,	-1,8197e-003
1296	0,43244	1,1474	0,	2,6459e-003
1298	-0,79126	0,3494	0,	1,3896e-002
1300	-0,86609	-6,6501e-002	0,	1,0029e-002
1302	0,10811	-1,2179	0,	2,612e-002
1304	0,74541	-0,74608	0,	3,9102e-002
1306	-0,57071	-0,87071	0,	1,2435e-002
1308	-0,86858	0,87744	0,	4,1763e-002
1310	-0,42655	-1,1498	0,	8,8209e-003
1311	-0,59075	-1,0714	0,	9,8892e-003
1314	-0,74297	-0,96641	0,	1,089e-002
1315	-0,74885	-0,74457	0,	1,5061e-002
1318	-0,28895	1,0087	0,	4,1613e-002
1319	-0,35518	0,81208	0,	4,0363e-002
1320	-0,45004	0,97834	0,	4,901e-002
1324	-0,67755	-0,53684	0,	1,3187e-002
